,Model,Accuracy_score,F1_score,Recall_score,Precision_,Learing_time
0,Model Azure Réfrérent,0.7121212121212122,0.759493670886076,0.9090909090909091,0.6521739130434783,331.042658
1,Model Azure Simple,0.5965909090909091,0.5864077669902912,0.571969696969697,0.6521739130434783,0.202652
